doc_id,filename,format,word_count_target,sit_ids,labels,instances,confidences,tcs,actual_file_path,actual_word_count,docx_path,pdf_path,eml_path,attachments,postprocessed_at
1,doc_00001_email.txt,email,3071,SIT_CCN,TP,1,Low,Finance,output/files\doc_00001_email.txt,3082.0,output\files\doc_00001_email.docx,output\files\doc_00001_email.pdf,output\files\doc_00001_email.eml,,2025-11-03T11:27:58.908854Z
2,doc_00002_email_with_attachment.txt,email_with_attachment,1017,SIT_SSN,TP,1,Low,Tax;HR,output/files\doc_00002_email_with_attachment.txt,1027.0,output\files\doc_00002_email_with_attachment.docx,output\files\doc_00002_email_with_attachment.pdf,output\files\doc_00002_email_with_attachment.eml,output\files\doc_00002_email_with_attachment_attachment.xlsx,2025-11-03T11:27:59.210700Z
3,doc_00003_email_with_attachment.txt,email_with_attachment,959,SIT_ITIN,TP,5,Medium,Tax,output/files\doc_00003_email_with_attachment.txt,975.0,output\files\doc_00003_email_with_attachment.docx,output\files\doc_00003_email_with_attachment.pdf,output\files\doc_00003_email_with_attachment.eml,output\files\doc_00003_email_with_attachment_attachment.xlsx,2025-11-03T11:27:59.300912Z
4,doc_00004_email_with_attachment.txt,email_with_attachment,1693,SIT_PASSPORT_US_UK,FP,7,Medium,HR;Travel,output/files\doc_00004_email_with_attachment.txt,1704.0,output\files\doc_00004_email_with_attachment.docx,output\files\doc_00004_email_with_attachment.pdf,output\files\doc_00004_email_with_attachment.eml,output\files\doc_00004_email_with_attachment_attachment.xlsx,2025-11-03T11:27:59.398228Z
5,doc_00005_document.txt,document,599,SIT_BANK_US,FP,1,Low,Finance,output/files\doc_00005_document.txt,612.0,output\files\doc_00005_document.docx,output\files\doc_00005_document.pdf,,,2025-11-03T11:27:59.441611Z
6,doc_00006_document.txt,document,3849,SIT_DRIVER_US;SIT_ABA;SIT_DEA;SIT_EU_DEBIT;SIT_ICD10;SIT_ICD9,TP;TP;FP;TP;FP;FP,1;1;1;4;6;6,Low;Low;Low;Medium;Medium;Medium,HR;Finance;Healthcare,output/files\doc_00006_document.txt,3865.0,output\files\doc_00006_document.docx,output\files\doc_00006_document.pdf,,,2025-11-03T11:27:59.516617Z
7,doc_00007_email.txt,email,1046,SIT_SWIFT;SIT_CAN_SIN;SIT_CAN_BANK,FP;TP;FP,4;5;5,Medium;Medium;Medium,Tax;HR;Finance,output/files\doc_00007_email.txt,1082.0,output\files\doc_00007_email.docx,output\files\doc_00007_email.pdf,output\files\doc_00007_email.eml,,2025-11-03T11:27:59.568370Z
8,doc_00008_chat.txt,chat,832,SIT_AUS_TFN,TP,19,High,Tax,output/files\doc_00008_chat.txt,848.0,output\files\doc_00008_chat.docx,output\files\doc_00008_chat.pdf,,,2025-11-03T11:27:59.613368Z
9,doc_00009_email.txt,email,716,SIT_CAN_PHIN,TP,1,Low,Healthcare,output/files\doc_00009_email.txt,725.0,output\files\doc_00009_email.docx,output\files\doc_00009_email.pdf,output\files\doc_00009_email.eml,,2025-11-03T11:27:59.671373Z
10,doc_00010_email_with_attachment.txt,email_with_attachment,2387,SIT_CAN_DRIVER;SIT_CAN_HEALTH;SIT_AUS_DRIVER;SIT_AUS_PASSPORT;SIT_AUS_BANK,TP;TP;TP;FP;TP,5;1;4;5;1,Medium;Low;Medium;Medium;Low,Finance;HR;Travel;Healthcare,output/files\doc_00010_email_with_attachment.txt,2392.0,output\files\doc_00010_email_with_attachment.docx,output\files\doc_00010_email_with_attachment.pdf,output\files\doc_00010_email_with_attachment.eml,output\files\doc_00010_email_with_attachment_attachment.xlsx,2025-11-03T11:27:59.776370Z
